FLOWDATE,FLOWHOUR,Predicted_SBIL_MWH_hplus1,Predicted_SBIL_MWH_hplus2,Predicted_SBIL_MWH_hplus3,Predicted_SBIL_MWH_hplus4,Run_Timestamp,MACRO_INDEX
20241212,11,-109.096,-445.204,-259.224,493.212,2024-12-12 10:48:05.420837,MACRONORD
20241212,11,493.396,-117.959,209.814,20.421,2024-12-12 10:49:55.515637,MACROSUD
20241212,12,246.978,-110.461,-352.091,528.084,2024-12-12 11:36:45.087979,MACRONORD
20241212,12,422.651,435.559,365.717,711.594,2024-12-12 11:38:28.334826,MACROSUD
20241212,13,1597.796,169.188,-186.035,767.565,2024-12-12 12:40:47.241388,MACRONORD
20241212,13,283.508,446.28,191.896,432.877,2024-12-12 12:42:33.834365,MACROSUD
20241212,14,1459.916,1687.669,511.215,1041.71,2024-12-12 14:06:47.733945,MACRONORD
20241212,14,165.182,381.078,-58.189,392.984,2024-12-12 14:08:25.724218,MACROSUD
20241212,15,683.644,1519.739,1342.136,505.635,2024-12-12 15:11:18.890064,MACRONORD
20241212,15,145.318,127.017,-210.546,75.603,2024-12-12 15:12:59.389814,MACROSUD
20241212,16,252.276,813.336,933.197,55.187,2024-12-12 16:14:46.037383,MACRONORD
20241212,16,309.795,211.809,-6.173,-128.03,2024-12-12 16:16:44.042142,MACROSUD
20241213,15,186.936,113.539,295.756,254.762,2024-12-13 14:40:47.314238,MACRONORD
20241213,15,-165.13,-120.156,192.179,59.276,2024-12-13 14:43:18.665885,MACROSUD
20241213,16,257.879,236.915,134.141,86.134,2024-12-13 15:45:08.976322,MACRONORD
20241213,16,-147.507,-244.928,-131.29,360.02,2024-12-13 15:46:50.516256,MACROSUD
20241213,17,84.67,244.365,222.458,374.593,2024-12-13 16:48:33.449307,MACRONORD
20241213,17,-91.016,-40.26,-133.014,-83.507,2024-12-13 16:50:11.554456,MACROSUD
20241216,12,-351.847,-477.202,-630.624,-960.208,2024-12-16 11:29:11.602659,MACRONORD
20241216,12,-84.725,-214.943,-559.951,-391.894,2024-12-16 11:30:57.158471,MACROSUD
20241216,13,-113.561,-62.426,-388.967,-981.153,2024-12-16 12:32:42.997557,MACRONORD
20241216,13,-165.499,-21.91,-504.666,-391.847,2024-12-16 12:34:21.332304,MACROSUD
